city,year,country,avg_city_temp,avg_global_temp
Baku,1808,Azerbaijan,5.50,7.63
Baku,1809,Azerbaijan,9.42,7.08
Baku,1810,Azerbaijan,9.47,6.92
Baku,1811,Azerbaijan,9.58,6.86
Baku,1812,Azerbaijan,9.71,7.05
Baku,1813,Azerbaijan,10.38,7.74
Baku,1814,Azerbaijan,10.53,7.59
Baku,1815,Azerbaijan,9.94,7.24
Baku,1816,Azerbaijan,12.78,6.94
Baku,1817,Azerbaijan,9.76,6.98
Baku,1818,Azerbaijan,11.44,7.83
Baku,1819,Azerbaijan,9.72,7.37
Baku,1820,Azerbaijan,10.23,7.62
Baku,1821,Azerbaijan,10.63,8.09
Baku,1822,Azerbaijan,10.30,8.19
Baku,1823,Azerbaijan,10.70,7.72
Baku,1824,Azerbaijan,11.69,8.55
Baku,1825,Azerbaijan,10.80,8.39
Baku,1826,Azerbaijan,10.73,8.36
Baku,1827,Azerbaijan,11.74,8.81
Baku,1828,Azerbaijan,10.58,8.17
Baku,1829,Azerbaijan,10.72,7.94
Baku,1830,Azerbaijan,11.17,8.52
Baku,1831,Azerbaijan,10.33,7.64
Baku,1832,Azerbaijan,9.60,7.45
Baku,1833,Azerbaijan,10.63,8.01
Baku,1834,Azerbaijan,10.47,8.15
Baku,1835,Azerbaijan,10.12,7.39
Baku,1836,Azerbaijan,10.65,7.70
Baku,1837,Azerbaijan,10.26,7.38
Baku,1838,Azerbaijan,9.98,7.51
Baku,1839,Azerbaijan,10.29,7.63
Baku,1840,Azerbaijan,10.15,7.80
Baku,1841,Azerbaijan,10.29,7.69
Baku,1842,Azerbaijan,10.79,8.02
Baku,1843,Azerbaijan,11.07,8.17
Baku,1844,Azerbaijan,10.41,7.65
Baku,1845,Azerbaijan,10.48,7.85
Baku,1846,Azerbaijan,11.10,8.55
Baku,1847,Azerbaijan,10.71,8.09
Baku,1848,Azerbaijan,10.60,7.98
Baku,1849,Azerbaijan,10.89,7.98
Baku,1850,Azerbaijan,10.43,7.90
Baku,1851,Azerbaijan,11.54,8.18
Baku,1852,Azerbaijan,10.95,8.10
Baku,1853,Azerbaijan,11.10,8.04
Baku,1854,Azerbaijan,10.53,8.21
Baku,1855,Azerbaijan,11.33,8.11
Baku,1856,Azerbaijan,10.83,8.00
Baku,1857,Azerbaijan,10.11,7.76
Baku,1858,Azerbaijan,10.62,8.10
Baku,1859,Azerbaijan,11.29,8.25
Baku,1860,Azerbaijan,10.90,7.96
Baku,1861,Azerbaijan,9.88,7.85
Baku,1862,Azerbaijan,9.70,7.56
Baku,1863,Azerbaijan,10.45,8.11
Baku,1864,Azerbaijan,10.47,7.98
Baku,1865,Azerbaijan,10.70,8.18
Baku,1866,Azerbaijan,10.60,8.29
Baku,1867,Azerbaijan,10.84,8.44
Baku,1868,Azerbaijan,10.91,8.25
Baku,1869,Azerbaijan,11.37,8.43
Baku,1870,Azerbaijan,11.05,8.20
Baku,1871,Azerbaijan,10.95,8.12
Baku,1872,Azerbaijan,11.64,8.19
Baku,1873,Azerbaijan,11.48,8.35
Baku,1874,Azerbaijan,10.99,8.43
Baku,1875,Azerbaijan,10.94,7.86
Baku,1876,Azerbaijan,11.04,8.08
Baku,1877,Azerbaijan,11.30,8.54
Baku,1878,Azerbaijan,11.53,8.83
Baku,1879,Azerbaijan,11.57,8.17
Baku,1880,Azerbaijan,10.00,8.12
Baku,1881,Azerbaijan,10.77,8.27
Baku,1882,Azerbaijan,10.76,8.13
Baku,1883,Azerbaijan,11.10,7.98
Baku,1884,Azerbaijan,10.58,7.77
Baku,1885,Azerbaijan,10.74,7.92
Baku,1886,Azerbaijan,10.16,7.95
Baku,1887,Azerbaijan,11.13,7.91
Baku,1888,Azerbaijan,11.61,8.09
Baku,1889,Azerbaijan,10.83,8.32
Baku,1890,Azerbaijan,11.09,7.97
Baku,1891,Azerbaijan,10.63,8.02
Baku,1892,Azerbaijan,11.08,8.07
Baku,1893,Azerbaijan,10.74,8.06
Baku,1894,Azerbaijan,10.25,8.16
Baku,1895,Azerbaijan,10.82,8.15
Baku,1896,Azerbaijan,10.29,8.21
Baku,1897,Azerbaijan,11.10,8.29
Baku,1898,Azerbaijan,10.34,8.18
Baku,1899,Azerbaijan,11.74,8.40
Baku,1900,Azerbaijan,10.39,8.50
Baku,1901,Azerbaijan,11.52,8.54
Baku,1902,Azerbaijan,10.93,8.30
Baku,1903,Azerbaijan,10.77,8.22
Baku,1904,Azerbaijan,10.47,8.09
Baku,1905,Azerbaijan,10.90,8.23
Baku,1906,Azerbaijan,11.06,8.38
Baku,1907,Azerbaijan,10.14,7.95
Baku,1908,Azerbaijan,10.15,8.19
Baku,1909,Azerbaijan,11.31,8.18
Baku,1910,Azerbaijan,11.33,8.22
Baku,1911,Azerbaijan,9.33,8.18
Baku,1912,Azerbaijan,11.12,8.17
Baku,1913,Azerbaijan,11.03,8.30
Baku,1914,Azerbaijan,11.36,8.59
Baku,1915,Azerbaijan,11.76,8.59
Baku,1916,Azerbaijan,11.16,8.23
Baku,1917,Azerbaijan,11.80,8.02
Baku,1918,Azerbaijan,10.98,8.13
Baku,1919,Azerbaijan,11.31,8.38
Baku,1920,Azerbaijan,9.51,8.36
Baku,1921,Azerbaijan,10.50,8.57
Baku,1922,Azerbaijan,11.66,8.41
Baku,1923,Azerbaijan,11.40,8.42
Baku,1924,Azerbaijan,11.10,8.51
Baku,1925,Azerbaijan,11.49,8.53
Baku,1926,Azerbaijan,10.98,8.73
Baku,1927,Azerbaijan,11.08,8.52
Baku,1928,Azerbaijan,9.90,8.63
Baku,1929,Azerbaijan,10.00,8.24
Baku,1930,Azerbaijan,10.90,8.63
Baku,1931,Azerbaijan,10.20,8.72
Baku,1932,Azerbaijan,10.61,8.71
Baku,1933,Azerbaijan,10.58,8.34
Baku,1934,Azerbaijan,10.50,8.63
Baku,1935,Azerbaijan,11.42,8.52
Baku,1936,Azerbaijan,11.44,8.55
Baku,1937,Azerbaijan,11.72,8.70
Baku,1938,Azerbaijan,11.86,8.86
Baku,1939,Azerbaijan,11.65,8.76
Baku,1940,Azerbaijan,11.79,8.76
Baku,1941,Azerbaijan,11.47,8.77
Baku,1942,Azerbaijan,10.93,8.73
Baku,1943,Azerbaijan,10.91,8.76
Baku,1944,Azerbaijan,11.85,8.85
Baku,1945,Azerbaijan,10.37,8.58
Baku,1946,Azerbaijan,11.14,8.68
Baku,1947,Azerbaijan,11.71,8.80
Baku,1948,Azerbaijan,11.39,8.75
Baku,1949,Azerbaijan,10.58,8.59
Baku,1950,Azerbaijan,10.87,8.37
Baku,1951,Azerbaijan,11.23,8.63
Baku,1952,Azerbaijan,11.53,8.64
Baku,1953,Azerbaijan,11.07,8.87
Baku,1954,Azerbaijan,11.31,8.56
Baku,1955,Azerbaijan,12.35,8.63
Baku,1956,Azerbaijan,10.45,8.28
Baku,1957,Azerbaijan,11.74,8.73
Baku,1958,Azerbaijan,11.60,8.77
Baku,1959,Azerbaijan,10.34,8.73
Baku,1960,Azerbaijan,11.56,8.58
Baku,1961,Azerbaijan,12.35,8.80
Baku,1962,Azerbaijan,12.42,8.75
Baku,1963,Azerbaijan,11.66,8.86
Baku,1964,Azerbaijan,10.83,8.41
Baku,1965,Azerbaijan,11.17,8.53
Baku,1966,Azerbaijan,13.00,8.60
Baku,1967,Azerbaijan,11.16,8.70
Baku,1968,Azerbaijan,11.78,8.52
Baku,1969,Azerbaijan,10.18,8.60
Baku,1970,Azerbaijan,12.06,8.70
Baku,1971,Azerbaijan,12.10,8.60
Baku,1972,Azerbaijan,10.78,8.50
Baku,1973,Azerbaijan,11.11,8.95
Baku,1974,Azerbaijan,11.14,8.47
Baku,1975,Azerbaijan,12.23,8.74
Baku,1976,Azerbaijan,10.81,8.35
Baku,1977,Azerbaijan,11.23,8.85
Baku,1978,Azerbaijan,11.28,8.69
Baku,1979,Azerbaijan,12.29,8.73
Baku,1980,Azerbaijan,11.62,8.98
Baku,1981,Azerbaijan,12.39,9.17
Baku,1982,Azerbaijan,10.96,8.64
Baku,1983,Azerbaijan,12.03,9.03
Baku,1984,Azerbaijan,11.16,8.69
Baku,1985,Azerbaijan,11.43,8.66
Baku,1986,Azerbaijan,11.83,8.83
Baku,1987,Azerbaijan,11.32,8.99
Baku,1988,Azerbaijan,11.74,9.20
Baku,1989,Azerbaijan,12.42,8.92
Baku,1990,Azerbaijan,12.01,9.23
Baku,1991,Azerbaijan,11.90,9.18
Baku,1992,Azerbaijan,10.93,8.84
Baku,1993,Azerbaijan,10.53,8.87
Baku,1994,Azerbaijan,11.32,9.04
Baku,1995,Azerbaijan,12.81,9.35
Baku,1996,Azerbaijan,11.96,9.04
Baku,1997,Azerbaijan,11.89,9.20
Baku,1998,Azerbaijan,12.79,9.52
Baku,1999,Azerbaijan,12.74,9.29
Baku,2000,Azerbaijan,12.61,9.20
Baku,2001,Azerbaijan,12.97,9.41
Baku,2002,Azerbaijan,12.45,9.57
Baku,2003,Azerbaijan,11.81,9.53
Baku,2004,Azerbaijan,12.76,9.32
Baku,2005,Azerbaijan,12.88,9.70
Baku,2006,Azerbaijan,12.66,9.53
Baku,2007,Azerbaijan,12.75,9.73
Baku,2008,Azerbaijan,12.30,9.43
Baku,2009,Azerbaijan,12.60,9.51
Baku,2010,Azerbaijan,13.85,9.70
Baku,2011,Azerbaijan,11.79,9.52
Baku,2012,Azerbaijan,13.00,9.51
Baku,2013,Azerbaijan,14.12,9.61
Berlin,1750,Germany,9.83,8.72
Berlin,1751,Germany,9.75,7.98
Berlin,1752,Germany,4.84,5.78
Berlin,1753,Germany,8.72,8.39
Berlin,1754,Germany,8.49,8.47
Berlin,1755,Germany,8.26,8.36
Berlin,1756,Germany,9.62,8.85
Berlin,1757,Germany,9.15,9.02
Berlin,1758,Germany,8.25,6.74
Berlin,1759,Germany,9.04,7.99
Berlin,1760,Germany,8.99,7.19
Berlin,1761,Germany,9.47,8.77
Berlin,1762,Germany,8.53,8.61
Berlin,1763,Germany,8.62,7.50
Berlin,1764,Germany,8.91,8.40
Berlin,1765,Germany,8.54,8.25
Berlin,1766,Germany,8.87,8.41
Berlin,1767,Germany,8.14,8.22
Berlin,1768,Germany,8.03,6.78
Berlin,1769,Germany,8.46,7.69
Berlin,1770,Germany,8.50,7.69
Berlin,1771,Germany,7.45,7.85
Berlin,1772,Germany,9.13,8.19
Berlin,1773,Germany,9.52,8.22
Berlin,1774,Germany,8.46,8.77
Berlin,1775,Germany,10.10,9.18
Berlin,1776,Germany,8.36,8.30
Berlin,1777,Germany,8.29,8.26
Berlin,1778,Germany,9.43,8.54
Berlin,1779,Germany,10.47,8.98
Berlin,1780,Germany,8.78,9.43
Berlin,1781,Germany,9.98,8.10
Berlin,1782,Germany,8.61,7.90
Berlin,1783,Germany,9.76,7.68
Berlin,1784,Germany,7.67,7.86
Berlin,1785,Germany,7.42,7.36
Berlin,1786,Germany,7.68,8.26
Berlin,1787,Germany,9.27,8.03
Berlin,1788,Germany,8.33,8.45
Berlin,1789,Germany,8.99,8.33
Berlin,1790,Germany,9.09,7.98
Berlin,1791,Germany,9.55,8.23
Berlin,1792,Germany,8.90,8.09
Berlin,1793,Germany,9.18,8.23
Berlin,1794,Germany,10.02,8.53
Berlin,1795,Germany,8.87,8.35
Berlin,1796,Germany,9.01,8.27
Berlin,1797,Germany,10.07,8.51
Berlin,1798,Germany,9.33,8.67
Berlin,1799,Germany,6.72,8.51
Berlin,1800,Germany,8.60,8.48
Berlin,1801,Germany,9.61,8.59
Berlin,1802,Germany,9.08,8.58
Berlin,1803,Germany,8.02,8.50
Berlin,1804,Germany,8.36,8.84
Berlin,1805,Germany,7.20,8.56
Berlin,1806,Germany,9.67,8.43
Berlin,1807,Germany,9.42,8.28
Berlin,1808,Germany,8.15,7.63
Berlin,1809,Germany,8.66,7.08
Berlin,1810,Germany,8.46,6.92
Berlin,1811,Germany,9.93,6.86
Berlin,1812,Germany,7.35,7.05
Berlin,1813,Germany,8.66,7.74
Berlin,1814,Germany,7.46,7.59
Berlin,1815,Germany,8.38,7.24
Berlin,1816,Germany,7.75,6.94
Berlin,1817,Germany,8.92,6.98
Berlin,1818,Germany,9.00,7.83
Berlin,1819,Germany,9.43,7.37
Berlin,1820,Germany,7.86,7.62
Berlin,1821,Germany,9.15,8.09
Berlin,1822,Germany,10.05,8.19
Berlin,1823,Germany,8.26,7.72
Berlin,1824,Germany,9.61,8.55
Berlin,1825,Germany,9.32,8.39
Berlin,1826,Germany,9.35,8.36
Berlin,1827,Germany,8.99,8.81
Berlin,1828,Germany,8.94,8.17
Berlin,1829,Germany,6.52,7.94
Berlin,1830,Germany,8.08,8.52
Berlin,1831,Germany,8.93,7.64
Berlin,1832,Germany,8.34,7.45
Berlin,1833,Germany,8.89,8.01
Berlin,1834,Germany,10.40,8.15
Berlin,1835,Germany,8.81,7.39
Berlin,1836,Germany,8.88,7.70
Berlin,1837,Germany,8.12,7.38
Berlin,1838,Germany,6.98,7.51
Berlin,1839,Germany,8.63,7.63
Berlin,1840,Germany,7.74,7.80
Berlin,1841,Germany,9.06,7.69
Berlin,1842,Germany,8.51,8.02
Berlin,1843,Germany,9.18,8.17
Berlin,1844,Germany,7.85,7.65
Berlin,1845,Germany,7.92,7.85
Berlin,1846,Germany,9.84,8.55
Berlin,1847,Germany,8.24,8.09
Berlin,1848,Germany,8.75,7.98
Berlin,1849,Germany,8.03,7.98
Berlin,1850,Germany,8.20,7.90
Berlin,1851,Germany,8.50,8.18
Berlin,1852,Germany,9.54,8.10
Berlin,1853,Germany,7.55,8.04
Berlin,1854,Germany,8.69,8.21
Berlin,1855,Germany,7.07,8.11
Berlin,1856,Germany,8.50,8.00
Berlin,1857,Germany,9.39,7.76
Berlin,1858,Germany,7.97,8.10
Berlin,1859,Germany,9.60,8.25
Berlin,1860,Germany,8.00,7.96
Berlin,1861,Germany,8.87,7.85
Berlin,1862,Germany,8.91,7.56
Berlin,1863,Germany,9.81,8.11
Berlin,1864,Germany,6.99,7.98
Berlin,1865,Germany,8.88,8.18
Berlin,1866,Germany,9.44,8.29
Berlin,1867,Germany,8.41,8.44
Berlin,1868,Germany,10.24,8.25
Berlin,1869,Germany,9.06,8.43
Berlin,1870,Germany,7.57,8.20
Berlin,1871,Germany,7.08,8.12
Berlin,1872,Germany,9.97,8.19
Berlin,1873,Germany,9.27,8.35
